Data_Set_Name,Algorithm_Name,Measure,Value
GermanCreditAge25,LFRanking,NDCG@5,0.5359489972650372
GermanCreditAge25,LFRanking,NDCG@10,0.5571764412009558
GermanCreditAge25,LFRanking,rKL,0.004909666653770319
GermanCreditAge25,LFRanking,DTR,5.70503321726
GermanCreditAge25,LFRanking,DIR,0.857501693091
GermanCreditAge25,LFRanking,FairnessAtK,0.1
TREC,LFRanking,NDCG@1,0.22327632766944713
TREC,LFRanking,NDCG@5,0.26473899322496136
TREC,LFRanking,NDCG@10,0.2804199342532359
TREC,LFRanking,MAP,0.0
TREC,LFRanking,rKL,0.16110809977486704
TREC,LFRanking,DTR,0.528610425667
TREC,LFRanking,DIR,2.02337452611
TREC,LFRanking,FairnessAtK,0.30328124999999995
TREC,FAIR,NDCG@1,0.3124604421949803
TREC,FAIR,NDCG@5,0.40589065002614
TREC,FAIR,NDCG@10,0.4168118129221927
TREC,FAIR,MAP,0.020960714285714287
TREC,FAIR,rKL,0.0017622106565566825
TREC,FAIR,DTR,0.299320895412
TREC,FAIR,DIR,2.35062731039
TREC,FAIR,FairnessAtK,0.5062499999999995
TREC,Color-Blind,NDCG@1,0.3124604421949803
TREC,Color-Blind,NDCG@5,0.35922736002941763
TREC,Color-Blind,NDCG@10,0.40408354378806266
TREC,Color-Blind,MAP,0.020960714285714287
TREC,Color-Blind,rKL,0.16110809977486704
TREC,Color-Blind,DTR,0.299233754978
TREC,Color-Blind,DIR,2.34806275443
TREC,Color-Blind,FairnessAtK,0.5029687500000001
TREC,ListNet,NDCG@1,0.3124604421949803
TREC,ListNet,NDCG@5,0.35922736002941763
TREC,ListNet,NDCG@10,0.40408354378806266
TREC,ListNet,MAP,0.020960714285714287
TREC,ListNet,rKL,0.16110809977486704
TREC,ListNet,DTR,0.299233754978
TREC,ListNet,DIR,2.34806275443
TREC,ListNet,FairnessAtK,0.5029687500000001
TREC,FOEIR-DTC,NDCG@1,0.17112561411233185
TREC,FOEIR-DTC,NDCG@5,0.26400657913206976
TREC,FOEIR-DTC,NDCG@10,0.26186152203287816
TREC,FOEIR-DTC,MAP,5.2179962894248605e-05
TREC,FOEIR-DTC,rKL,0.1582345423382942
TREC,FOEIR-DTC,DTR,0.348212011214
TREC,FOEIR-DTC,DIR,1.23959876437
